Price,Price per meter,Bedrooms,Bathrooms,Floor,View,Year Built,Payment Method,Seller Type,Area in m²,Governorate
3591000,27000,3,2,3,Main Street,2027,Cash or Installments,Broker,133,Greater Cairo
1680000,21000,2,1,2,Garden,2024,Cash,Broker,80,Greater Cairo
8140000,55000,2,1,1,Other,2026,Cash or Installments,Broker,148,Hurghada
5774000,33964,3,3,0,Garden,2026,Cash or Installments,Broker,170,Greater Cairo
5000000,28901,2,2,3,Pool,2025,Installments,Broker,173,North Coast
5000000,27777,3,1,0,Main Street,2025,Cash or Installments,Broker,180,Greater Cairo
3500000,23333,3,2,4,Main Street,2025,Cash,Broker,150,Greater Cairo
8250000,48529,3,3,1,Garden,2025,Cash or Installments,Broker,170,Greater Cairo
9637485,59125,3,,2,Pool,2025,Installments,Broker,163,Greater Cairo
5000000,28901,2,2,1,Pool,2025,Installments,Broker,173,North Coast
2855600,23796,3,,3,Garden,2026,Cash or Installments,Broker,120,Greater Cairo
8000000,46783,3,2,4,Other,2023,Installments,Broker,171,Greater Cairo
1000000,11111,2,1,7,Main Street,2000,Cash,Private Owner,90,Alexandria
4793500,32171,3,3,4,Pool,2028,Cash or Installments,Broker,149,Greater Cairo
8200000,57746,2,3,2,Other,2026,Installments,Developer,142,Greater Cairo
8000000,32000,3,3,5,Main Street,2020,Cash or Installments,Broker,250,Greater Cairo
1918000,44604,1,1,1,Pool,2028,Cash,Broker,43,Hurghada
4641000,28127,3,3,0,Garden,2027,Cash or Installments,Developer,165,Greater Cairo
5400000,26470,4,4,2,Plaza,2025,Installments,Broker,204,North Coast
8300000,55333,2,2,3,Other,2024,Cash,Broker,150,Greater Cairo
4907500,35305,3,3,4,Garden,2028,Cash or Installments,Broker,139,Greater Cairo
4500000,28125,3,3,4,Garden,2025,Cash,Broker,160,Greater Cairo
2250000,15000,3,2,2,Garden,2025,Installments,Broker,150,Greater Cairo
5000000,56179,1,1,3,Pool,2025,Cash,Broker,89,Greater Cairo
6918000,49414,2,2,2,Sea View,2025,Installments,Broker,140,North Coast
5008500,31500,3,3,1,Garden,2028,Cash or Installments,Broker,159,Greater Cairo
8000000,36363,4,4,3,Main Street,2025,Cash,Broker,220,Greater Cairo
6020000,35000,3,3,1,Main Street,2026,Cash or Installments,Broker,172,Greater Cairo
10800000,72483,3,3,0,Garden,2027,Installments,Broker,149,Greater Cairo
3801900,20010,3,2,6,Other,2025,Installments,Broker,190,Kafr El Sheikh
3982000,22000,3,3,1,Side Street,2027,Cash or Installments,Developer,181,Greater Cairo
9700000,69285,2,2,2,Sea View,2025,Installments,Broker,140,North Coast
3933000,28294,3,3,1,Garden,2028,Cash or Installments,Broker,139,Greater Cairo
8100000,48795,2,2,0,Garden,2026,Cash or Installments,Broker,166,Greater Cairo
5670000,35000,3,2,3,Main Street,2022,Installments,Broker,162,Greater Cairo
13090000,87266,3,3,2,Garden,2024,Cash or Installments,Broker,150,Greater Cairo
4582000,29000,3,3,2,Side Street,2028,Cash or Installments,Developer,158,Greater Cairo
4063500,36608,2,2,4,Other,2028,Cash or Installments,Broker,111,Greater Cairo
6230000,35000,3,3,3,Main Street,2027,Cash or Installments,Broker,178,Greater Cairo
5448000,33629,3,3,4,Other,2028,Cash or Installments,Broker,162,Greater Cairo
5225000,34833,3,3,3,Other,2025,Cash,Broker,150,Greater Cairo
9770000,157580,1,1,3,Garden,2029,Cash or Installments,Broker,62,Greater Cairo
3725000,25000,2,2,1,Main Street,2024,Cash or Installments,Broker,149,Greater Cairo
3108025,20051,3,2,1,Main Street,2026,Installments,Broker,155,Greater Cairo
10500000,61403,3,3,2,Other,2025,Installments,Broker,171,Greater Cairo
9500000,58282,4,2,0,Garden,2029,Cash or Installments,Broker,163,Greater Cairo
3925000,25000,3,3,12,Main Street,2024,Cash or Installments,Broker,157,Greater Cairo
9750000,48750,3,4,5,Garden,2029,Cash or Installments,Broker,200,Greater Cairo
4250000,25000,3,2,12,Main Street,2024,Cash or Installments,Broker,170,Greater Cairo
6500000,24528,4,3,1,Other,2025,Cash,Broker,265,Greater Cairo
9750000,48750,3,4,1,Garden,2029,Cash or Installments,Broker,200,Greater Cairo
8725000,25000,3,3,0,Main Street,2024,Cash or Installments,Broker,349,Greater Cairo
9170000,65500,3,2,1,Other,2025,Installments,Broker,140,Greater Cairo
9268000,49827,3,4,1,Garden,2029,Cash or Installments,Broker,186,Greater Cairo
5500000,32934,3,2,9,Main Street,2024,Cash,Broker,167,Greater Cairo
9520000,48820,3,4,1,Garden,2029,Cash or Installments,Broker,195,Greater Cairo
9268000,49827,3,4,2,Garden,2029,Cash or Installments,Broker,186,Greater Cairo
7176000,51257,2,2,1,Garden,2029,Cash or Installments,Broker,140,Greater Cairo
4655000,35000,3,1,13,Main Street,2026,Cash or Installments,Broker,133,Greater Cairo
10600000,95495,2,1,2,Garden,2027,Cash or Installments,Broker,111,Greater Cairo
4900000,46666,2,2,3,Garden,2025,Cash,Broker,105,Greater Cairo
6209480,53530,2,2,2,Garden,2029,Installments,Broker,116,Greater Cairo
5200000,32500,3,2,0,Garden,2025,Installments,Broker,160,Greater Cairo
9268000,49827,3,4,4,Main Street,2029,Cash or Installments,Broker,186,Greater Cairo
19000000,108571,3,3,2,Garden,2025,Installments,Broker,175,Greater Cairo
5400000,27692,3,2,4,Other,2025,Cash,Broker,195,Greater Cairo
4200000,35294,3,1,12,Main Street,2026,Cash or Installments,Broker,119,Greater Cairo
7600000,43930,3,2,2,Other,2025,Installments,Broker,173,Greater Cairo
4200000,35000,3,1,12,Main Street,2026,Cash or Installments,Broker,120,Greater Cairo
7600000,43930,3,2,3,Other,2026,Installments,Broker,173,Greater Cairo
4724000,30282,3,2,1,Other,2025,Installments,Broker,156,Greater Cairo
5500000,22916,3,3,3,Other,2025,Installments,Broker,240,Greater Cairo
3500000,18716,3,3,2,Other,2025,Installments,Broker,187,Greater Cairo
4300000,26875,3,3,1,Garden,2025,Cash,Broker,160,Greater Cairo
3075000,25000,3,2,3,Main Street,2027,Cash or Installments,Broker,123,Greater Cairo
4806000,27000,4,2,2,Main Street,2021,Cash,Broker,178,Greater Cairo
10000000,25000,7,3,7,Main Street,2025,Cash,Broker,400,Greater Cairo
2767000,20804,3,2,3,Main Street,2028,Cash or Installments,Broker,133,Greater Cairo
5495000,35000,3,1,13,Main Street,2026,Cash or Installments,Broker,157,Greater Cairo
2926000,22000,3,3,2,Main Street,2027,Cash or Installments,Broker,133,Greater Cairo
14500000,84795,3,3,0,Garden,2026,Cash or Installments,Broker,171,Greater Cairo
9546600,66759,2,2,4,Garden,2026,Cash or Installments,Broker,143,Greater Cairo
4599000,60513,1,1,1,Garden,2025,Cash or Installments,Broker,76,Greater Cairo
3000000,24000,2,2,11,Main Street,2021,Cash,Private Owner,125,Sharqia
4104550,78933,1,1,3,Main Street,2026,Cash or Installments,Developer,52,Greater Cairo
4650000,36904,3,1,4,Other,2011,Cash,Broker,126,Greater Cairo
7000000,70000,1,2,3,Other,2025,Installments,Developer,100,Greater Cairo
4000000,7692,1,1,2,Other,2025,Installments,Broker,520,Greater Cairo
650000,5416,3,1,2,Side Street,2006,Cash,Private Owner,120,Alexandria
3490000,30347,2,1,2,Garden,2022,Cash or Installments,Broker,115,Greater Cairo
11550000,88846,2,3,1,Garden,2025,Cash,Broker,130,Greater Cairo
4609995,30529,3,2,1,Main Street,2027,Cash or Installments,Developer,151,Greater Cairo
3591000,28500,3,2,0,Other,2025,Installments,Broker,126,Greater Cairo
3399000,25750,3,2,6,Main Street,2025,Cash or Installments,Developer,132,Greater Cairo
2500000,26041,2,1,6,Main Street,2025,Cash or Installments,Developer,96,Greater Cairo
2057000,20166,1,1,10,Corner,2025,Cash or Installments,Developer,102,Greater Cairo
9300000,73228,2,2,1,Garden,2025,Cash,Broker,127,Greater Cairo
8350000,37954,3,2,1,Garden,2023,Cash,Broker,220,Greater Cairo
8400000,52500,3,2,0,Garden,2028,Cash or Installments,Broker,160,Greater Cairo
2201100,20010,2,2,5,Other,2025,Cash,Broker,110,Kafr El Sheikh
9500000,76000,3,2,0,Main Street,2025,Cash,Broker,125,Greater Cairo
4640000,29000,3,3,2,Side Street,2025,Cash or Installments,Broker,160,Greater Cairo
9135000,52500,3,2,1,Garden,2028,Cash or Installments,Broker,174,Greater Cairo
4370000,23000,3,3,6,Other,2025,Installments,Broker,190,Kafr El Sheikh
5500000,61797,2,1,1,Main Street,2025,Cash,Broker,89,Greater Cairo
5610000,34000,3,3,1,Corner,2025,Cash or Installments,Broker,165,Greater Cairo
5005000,55000,1,1,0,Garden,2028,Cash or Installments,Broker,91,Greater Cairo
1840000,23000,2,1,8,Other,2025,Installments,Broker,80,Kafr El Sheikh
7000000,56451,2,2,1,Main Street,2025,Cash,Broker,124,Greater Cairo
4370000,23000,3,3,4,Other,2025,Installments,Broker,190,Kafr El Sheikh
9983000,110922,1,1,0,Garden,2024,Installments,Developer,90,Greater Cairo
7000000,33333,4,3,1,Other,2020,Cash,Developer,210,Greater Cairo
2118000,70600,,,3,Pool,2026,Cash or Installments,Developer,30,North Coast
4422500,30500,3,3,1,Main Street,2028,Cash or Installments,Developer,145,Greater Cairo
2794500,31050,2,1,2,Garden,2024,Cash or Installments,Developer,90,Greater Cairo
1800000,24000,2,1,1,Main Street,2024,Cash,Private Owner,75,Damietta
10420000,105252,2,2,0,Sea View,2027,Cash or Installments,Broker,99,Hurghada
8400000,175000,1,1,4,Other,2020,Installments,Developer,48,Greater Cairo
4100000,41000,,,1,Other,2025,Installments,Developer,100,Greater Cairo
3112500,41500,1,,1,Main Street,2026,Cash or Installments,Broker,75,Hurghada
3770550,66150,,,1,Pool,2028,Cash or Installments,Broker,57,Hurghada
7000000,36842,3,3,2,Main Street,2025,Cash,Broker,190,Greater Cairo
10500000,30000,3,4,0,Main Street,2016,Cash,Broker,350,Greater Cairo
5500000,21568,4,3,0,Garden,2026,Cash or Installments,Broker,255,Greater Cairo
5075000,26025,3,3,2,Main Street,2025,Cash,Private Owner,195,Greater Cairo
8200000,65079,2,2,1,Garden,2025,Cash or Installments,Broker,126,Greater Cairo
8000000,14545,4,3,0,Main Street,2015,Cash,Broker,550,Greater Cairo
6500000,46428,2,2,0,Garden,2020,Cash,Broker,140,Greater Cairo
1863000,30048,1,1,2,Sea View,2025,Cash or Installments,Broker,62,Hurghada
2680000,41875,1,1,0,Main Street,2026,Cash or Installments,Broker,64,Hurghada
2458966,45536,1,1,1,Pool,2025,Cash,Broker,54,Hurghada
4540000,31971,3,3,2,Main Street,2028,Cash or Installments,Broker,142,Greater Cairo
3400000,27200,2,1,9,Garden,2018,Cash,Broker,125,Greater Cairo
4896855,36273,3,2,1,Main Street,2024,Cash or Installments,Developer,135,Greater Cairo
6000000,21352,3,3,3,Side Street,2025,Cash or Installments,Broker,281,Greater Cairo
4130000,32015,3,1,1,Main Street,2028,Cash or Installments,Broker,129,Greater Cairo
9500000,56886,3,2,0,Main Street,2025,Cash,Broker,167,Greater Cairo
9500000,58282,4,2,2,Corner,2016,Cash,Broker,163,Greater Cairo
6851600,49649,2,1,2,Main Street,2028,Cash or Installments,Broker,138,Greater Cairo
14000000,59829,3,4,0,Garden,2016,Cash,Broker,234,Greater Cairo
3700000,16818,3,4,0,Garden,2025,Cash,Broker,220,Greater Cairo
4350000,29000,3,3,2,Main Street,2026,Cash or Installments,Broker,150,Greater Cairo
2400000,13714,,,,Side Street,,Cash,Private Owner,175,Greater Cairo
4383350,21487,3,3,1,Main Street,2025,Cash or Installments,Developer,204,Greater Cairo
4610100,36300,3,2,1,Main Street,2023,Cash or Installments,Developer,127,Greater Cairo
10000000,53763,3,3,2,Pool,2025,Cash,Broker,186,Greater Cairo
6650000,35000,3,3,2,Main Street,2026,Cash or Installments,Broker,190,Greater Cairo
11350000,54567,3,3,5,Garden,2025,Cash,Broker,208,Greater Cairo
2822400,31360,2,2,2,Garden,2027,Installments,Broker,90,Greater Cairo
4830000,35000,3,2,12,Main Street,2026,Cash or Installments,Broker,138,Greater Cairo
5850000,27209,3,3,1,Garden,2026,Cash or Installments,Broker,215,Greater Cairo
4922280,36193,3,2,1,Main Street,2025,Cash or Installments,Developer,136,Greater Cairo
13200000,63768,2,3,2,Sea View,2025,Installments,Broker,207,North Coast
5810000,35000,3,3,1,Main Street,2026,Cash or Installments,Broker,166,Greater Cairo
6055000,35000,3,3,2,Main Street,2027,Cash or Installments,Broker,173,Greater Cairo
4693500,31500,3,3,1,Pool,2028,Cash or Installments,Broker,149,Greater Cairo
11500000,76666,3,3,3,Garden,2024,Cash,Broker,150,Greater Cairo
5828282,42855,3,3,4,Other,2025,Cash,Broker,136,Greater Cairo
6000000,30769,3,2,2,Garden,2025,Cash,Broker,195,Greater Cairo
9000000,64285,2,2,2,Sea View,2025,Installments,Broker,140,North Coast
3000000,20000,2,2,2,Main Street,2016,Cash,Private Owner,150,Greater Cairo
8500000,50000,3,3,0,Garden,2025,Cash,Broker,170,Greater Cairo
3075000,25000,3,3,3,Main Street,2027,Cash or Installments,Broker,123,Greater Cairo
4275000,25000,3,3,0,Main Street,2024,Cash or Installments,Broker,171,Greater Cairo
20340201,101701,,,2,Garden,2025,Cash or Installments,Broker,200,Greater Cairo
6500000,32500,3,3,1,Garden,2025,Cash,Broker,200,Greater Cairo
2650000,18928,3,2,2,Main Street,2016,Cash,Broker,140,Greater Cairo
12800000,105785,2,3,3,Garden,2028,Cash or Installments,Broker,121,Greater Cairo
7500000,41666,3,2,2,Garden,2025,Cash,Broker,180,Greater Cairo
13500000,71808,3,3,1,Other,2025,Cash,Broker,188,Greater Cairo
7300707,45916,3,3,0,Garden,2025,Cash or Installments,Broker,159,Greater Cairo
5400000,46551,1,2,1,Sea View,2025,Installments,Broker,116,North Coast
7224668,25438,5,4,0,Garden,2026,Cash or Installments,Broker,284,Greater Cairo
4750000,31666,3,2,2,Garden,2025,Cash,Broker,150,Greater Cairo
8200000,44324,3,2,2,Plaza,2025,Installments,Broker,185,North Coast
6844708,26737,3,3,0,Main Street,2026,Cash or Installments,Broker,256,Greater Cairo
6000000,25531,3,2,0,Garden,2025,Cash,Broker,235,Greater Cairo
4800000,30573,3,2,2,Garden,2025,Installments,Broker,157,Greater Cairo
6400000,37647,3,2,1,Garden,2025,Cash,Broker,170,Greater Cairo
5900000,47580,2,3,1,Garden,2025,Installments,Broker,124,Greater Cairo
6500000,44520,3,3,2,Garden,2025,Installments,Broker,146,Greater Cairo
8854000,63242,2,2,2,Sea View,2025,Installments,Broker,140,North Coast
4999000,43469,1,1,1,Sea View,2025,Installments,Broker,115,North Coast
7500000,26785,3,3,2,Other,2025,Installments,Broker,280,Greater Cairo
20156000,107786,3,,1,Main Street,2025,Cash or Installments,Broker,187,Greater Cairo
14500000,90625,3,3,2,Garden,2024,Cash,Broker,160,Greater Cairo
12140000,94843,2,3,4,Garden,2025,Cash,Broker,128,Greater Cairo
3230000,34000,2,1,1,Sea View,2025,Cash or Installments,Broker,95,Marsa Matruh
4000000,32000,2,1,6,Sea View,2025,Installments,Broker,125,Hurghada
3150000,15291,1,1,5,Garden,2024,Cash,Broker,206,Greater Cairo
5500000,20000,3,2,5,Nile View,2004,Cash,Broker,275,Greater Cairo
8700000,93548,,,2,Garden,2025,Cash or Installments,Broker,93,Greater Cairo
4938790,25327,3,3,3,Other,2025,Installments,Broker,195,Greater Cairo
5472000,38000,3,1,1,Pool,2026,Cash or Installments,Broker,144,Hurghada
12000000,72289,3,3,0,Pool,2025,Cash,Broker,166,Greater Cairo
7010941,29833,5,3,3,Main Street,2026,Cash or Installments,Broker,235,Greater Cairo
12441000,71500,3,2,2,Other,2025,Installments,Broker,174,Greater Cairo
3300000,30000,2,1,3,Main Street,2025,Cash or Installments,Broker,110,Hurghada
6844708,26737,3,3,0,Garden,2026,Cash or Installments,Broker,256,Greater Cairo
4734000,24785,3,3,3,Other,2025,Installments,Broker,191,Greater Cairo
3700000,15948,3,2,2,Other,2025,Installments,Broker,232,Greater Cairo
6186000,51550,2,2,6,Main Street,2027,Cash or Installments,Broker,120,Greater Cairo
6643682,38626,3,3,3,Main Street,2024,Cash or Installments,Broker,172,Greater Cairo
9432000,77311,2,2,6,Main Street,2027,Cash or Installments,Broker,122,Greater Cairo
7018000,27096,,,2,Plaza,2025,Installments,Broker,259,North Coast
10060000,71857,2,2,2,Garden,2025,Cash,Broker,140,Greater Cairo
7000000,35714,3,3,2,Sea View,2025,Installments,Broker,196,North Coast
11500000,68862,3,3,1,Main Street,2025,Cash,Broker,167,Greater Cairo
9390000,62600,2,3,4,Garden,2025,Cash or Installments,Broker,150,Greater Cairo
13090000,87266,3,3,1,Main Street,2025,Cash,Broker,150,Greater Cairo
8300000,47976,3,3,1,Main Street,2025,Cash,Broker,173,Greater Cairo
17640000,117600,3,4,2,Main Street,2026,Cash or Installments,Broker,150,Greater Cairo
6793194,41676,3,3,2,Main Street,2024,Cash or Installments,Broker,163,Greater Cairo
6050000,21530,3,3,0,Side Street,2025,Cash or Installments,Broker,281,Greater Cairo
20000000,137931,3,2,1,Sea View,2028,Cash or Installments,Broker,145,Greater Cairo
10761432,81526,2,2,2,Garden,2026,Cash or Installments,Broker,132,Greater Cairo
7245583,51387,3,3,0,Garden,2024,Cash or Installments,Broker,141,Greater Cairo
7600000,54285,2,2,2,Sea View,2025,Cash,Broker,140,North Coast
10200000,67105,3,3,1,Garden,2025,Cash,Broker,152,Greater Cairo
6793194,41676,3,3,1,Main Street,2024,Cash or Installments,Broker,163,Greater Cairo
6600000,56896,1,2,1,Sea View,2025,Installments,Broker,116,North Coast
5500000,31428,3,2,1,Main Street,2028,Cash or Installments,Broker,175,Greater Cairo
8196705,44068,,,0,Garden,2024,Cash or Installments,Broker,186,Greater Cairo
7586000,30837,,,2,Sea View,2025,Installments,Broker,246,North Coast
14370000,83546,4,4,2,Main Street,2026,Installments,Broker,172,Greater Cairo
7100000,34634,4,,2,Sea View,2025,Installments,Broker,205,North Coast
6400000,32000,4,4,2,Sea View,2025,Installments,Broker,200,North Coast
7700000,50000,3,2,0,Garden,2028,Cash or Installments,Broker,154,Greater Cairo
15700000,52333,4,3,0,Other,2024,Cash,Broker,300,Greater Cairo
8885000,50771,3,3,0,Main Street,2025,Installments,Broker,175,Greater Cairo
4900000,24500,3,2,4,,1998,Cash,Broker,200,Greater Cairo
13170000,55104,4,4,2,Main Street,2026,Cash or Installments,Broker,239,Greater Cairo
6286000,44581,2,2,1,Sea View,2025,Installments,Broker,141,North Coast
11685000,88522,2,2,1,Main Street,2025,Cash,Broker,132,Greater Cairo
5700000,30481,3,3,2,Plaza,2025,Installments,Broker,187,North Coast
8323635,68226,3,2,2,Garden,2029,Cash or Installments,Broker,122,Greater Cairo
14000000,87500,3,2,2,Pool,2025,Cash or Installments,Broker,160,Greater Cairo
2975000,35000,2,1,3,Sea View,2025,Cash or Installments,Broker,85,Marsa Matruh
3212000,44000,1,,1,Pool,2026,Cash or Installments,Broker,73,Hurghada
8000000,48780,,,,Pool,,Cash,Broker,164,Greater Cairo
9268000,49827,3,4,5,Garden,2029,Cash or Installments,Broker,186,Greater Cairo
13678000,55601,3,4,5,Main Street,2027,Cash or Installments,Broker,246,Greater Cairo
6851600,54812,2,2,1,Main Street,2028,Cash or Installments,Broker,125,Greater Cairo
1800000,50000,1,1,1,Pool,2026,Cash or Installments,Broker,36,Hurghada
12200000,81333,3,,0,Garden,2029,Cash or Installments,Broker,150,Greater Cairo
9520000,48820,3,4,5,Garden,2029,Cash or Installments,Broker,195,Greater Cairo
9245000,59645,3,1,1,Main Street,2029,Cash or Installments,Broker,155,Greater Cairo
9268000,49827,3,4,3,Garden,2029,Cash or Installments,Broker,186,Greater Cairo
9990000,49950,3,3,2,Garden,2029,Cash or Installments,Broker,200,Greater Cairo
9990000,49950,3,4,3,Garden,2029,Cash or Installments,Broker,200,Greater Cairo
9990000,49950,3,4,1,Garden,2029,Cash or Installments,Broker,200,Greater Cairo
7244000,49958,2,2,3,Garden,2029,Cash or Installments,Broker,145,Greater Cairo
8000000,106666,1,2,1,Main Street,2029,Cash or Installments,Broker,75,Greater Cairo
5025000,64423,1,1,4,Main Street,2025,Cash or Installments,Broker,78,Greater Cairo
13500000,99264,2,2,2,Corner,2019,Cash,Broker,136,Greater Cairo
4570000,30671,,,4,Garden,2028,Cash or Installments,Broker,149,Greater Cairo
6010625,40888,3,2,2,Main Street,2029,Cash or Installments,Broker,147,Greater Cairo
9770000,157580,1,1,2,Garden,2029,Cash or Installments,Broker,62,Greater Cairo
9735000,72111,2,3,2,Garden,2027,Cash or Installments,Broker,135,Greater Cairo
7929390,68356,7,2,3,Main Street,2025,Cash or Installments,Broker,116,Greater Cairo
4599000,48410,1,1,4,Garden,2029,Cash or Installments,Broker,95,Greater Cairo
9736562,74896,2,2,1,Main Street,2028,Cash or Installments,Broker,130,Greater Cairo
3982000,42817,2,,4,Main Street,2025,Cash or Installments,Broker,93,Greater Cairo
6200000,53448,2,2,1,Back,2029,Cash or Installments,Broker,116,Greater Cairo
3804800,48162,1,1,5,Back,2029,Cash or Installments,Broker,79,Greater Cairo
3713600,48863,1,1,4,Back,2029,Cash or Installments,Broker,76,Greater Cairo
7100000,50000,2,2,1,Garden,2028,Cash or Installments,Broker,142,Greater Cairo
6057600,47325,2,2,4,Back,2029,Cash or Installments,Broker,128,Greater Cairo
15000000,107142,2,2,1,Main Street,2025,Cash,Broker,140,Greater Cairo
6050000,24103,4,3,1,Main Street,2025,Installments,Broker,251,Greater Cairo
8500000,47222,3,2,2,Garden,2020,Cash,Broker,180,Greater Cairo
11060000,70000,3,2,3,Garden,2029,Cash or Installments,Broker,158,Greater Cairo
13500000,75000,3,3,0,Garden,2025,Cash,Broker,180,North Coast
6851600,54812,2,2,4,Garden,2029,Cash or Installments,Broker,125,Greater Cairo
14707000,86005,3,3,0,Garden,2027,Cash or Installments,Broker,171,Greater Cairo
9770000,157580,1,1,4,Garden,2029,Cash or Installments,Broker,62,Greater Cairo
13900000,74331,4,3,0,Garden,2025,Cash,Broker,187,Greater Cairo
9268000,49827,3,4,4,Garden,2029,Cash or Installments,Broker,186,Greater Cairo
6500000,46428,2,2,0,Garden,2025,Cash,Broker,140,Greater Cairo
3713600,48863,1,1,1,Back,2029,Cash or Installments,Broker,76,Greater Cairo
6100000,54464,2,2,5,Back,2029,Cash or Installments,Broker,112,Greater Cairo
4599000,48410,1,1,1,Garden,2029,Cash or Installments,Broker,95,Greater Cairo
4305000,43050,2,1,0,Garden,2029,Cash or Installments,Broker,100,Greater Cairo
16292375,112361,2,2,4,Sea View,2025,Cash or Installments,Broker,145,Hurghada
13586000,54782,3,4,5,Main Street,2027,Cash or Installments,Broker,248,Greater Cairo
18135000,117000,2,2,4,Sea View,2025,Cash or Installments,Broker,155,Hurghada
14012000,54734,3,4,4,Main Street,2027,Cash or Installments,Broker,256,Greater Cairo
7600000,21714,3,3,1,Garden,2025,Cash or Installments,Broker,350,Greater Cairo
7900000,55633,2,2,1,Garden,2020,Cash,Broker,142,Greater Cairo
7000000,56000,2,2,1,Pool,2025,Cash,Broker,125,Greater Cairo
8750000,50000,3,2,1,Garden,2028,Cash or Installments,Broker,175,Greater Cairo
21987000,82657,3,4,0,Garden,2027,Installments,Broker,266,Greater Cairo
8000000,48780,,,,Lake,,Cash,Broker,164,Greater Cairo
9000000,50000,3,3,1,Garden,2025,Cash,Broker,180,Greater Cairo
9406000,75854,2,2,3,Main Street,2027,Cash or Installments,Broker,124,Greater Cairo
6200000,27555,3,3,3,Pool,2025,Cash,Broker,225,Greater Cairo
13586000,54782,3,4,4,Main Street,2027,Cash or Installments,Broker,248,Greater Cairo
9029000,59013,3,3,1,Main Street,2027,Cash or Installments,Broker,153,Greater Cairo
8132677,57272,3,3,2,Garden,2029,Cash or Installments,Broker,142,Greater Cairo
5075000,26025,3,3,2,Side Street,2026,Installments,Broker,195,Greater Cairo
13586000,54782,3,4,6,Main Street,2027,Cash or Installments,Broker,248,Greater Cairo
2926000,22000,3,3,2,Lake,2027,Cash or Installments,Broker,133,Greater Cairo
9700000,69285,2,2,1,Sea View,2025,Installments,Broker,140,North Coast
